,Mean_of_betas_sperm,Mean_of_betas_blood,Delta
chr1:25844672-25844690,0.04750352008555012,0.9503756030243969,0.9028720829388468
chr1:221737032-221737207,0.04719969791167762,0.9511382884563726,0.9039385905446949
chr1:167604788-167604789,0.039931757881300975,0.9790638589645697,0.9391321010832687
chr2:7739760-7739871,0.06898403206954964,0.9704100163009489,0.9014259842313993
chr2:101181112-101181113,0.04506406088875654,0.9456970359146945,0.9006329750259379
chr3:194303263-194303506,0.05471513193831687,0.9591976803463569,0.90448254840804
chr3:189526150-189526244,0.0586976347201528,0.9587525759008312,0.9000549411806784
chr3:126261298-126261299,0.06267664421767259,0.9817972589564061,0.9191206147387335
chr3:61728795-61728796,0.054114564070198656,0.9557837671202029,0.9016692030500042
chr4:185975059-185975123,0.03968768109936009,0.9419551645118092,0.9022674834124491
chr4:188924717-188924753,0.04540603067718399,0.9529485287598444,0.9075424980826604
chr4:154727550-154727551,0.04940013065234407,0.9703645998938574,0.9209644692415133
chr5:51813651-51813704,0.050276903106348754,0.9515505148159804,0.9012736117096316
chr5:14733886-14734005,0.04288905216094156,0.9582087933234399,0.9153197411624984
chr5:170919715-170920071,0.044022925327858176,0.9478834544698014,0.9038605291419433
chr5:11931819-11931820,0.033894713563043626,0.9508375934223204,0.9169428798592768
chr5:120272574-120272575,0.05612109671242721,0.9688217955179094,0.9127006988054822
chr6:16803812-16804167,0.05169804856560744,0.9564503444106612,0.9047522958450538
chr6:125743207-125743208,0.038566847818049255,0.9547742381469237,0.9162073903288745
chr6:162294525-162294526,0.06398671719928971,0.9672984328622355,0.9033117156629458
chr6:97439763-97439764,0.03964097966224706,0.9494359530122043,0.9097949733499572
chr7:149171379-149172232,0.0620920176238579,0.9655058111162157,0.9034137934923578
chr7:105160482-105160483,0.03474238589997902,0.938745503994365,0.9040031180943859
chr7:98122011-98122174,0.04861240236145109,0.9603539898468593,0.9117415874854082
chr8:144190362-144190485,0.04492610414367771,0.9675301027133545,0.9226039985696768
chr8:51404106-51404180,0.06984700046524309,0.9728050561072408,0.9029580556419977
chr8:6118526-6118576,0.05429579099969103,0.9660777716415477,0.9117819806418567
chr9:102761263-102761264,0.04621599170293037,0.9518020286269604,0.9055860369240301
chr9:107091808-107091809,0.058072054777585175,0.9825921675193533,0.9245201127417682
chr10:131005696-131005779,0.03823437314349236,0.9589418105957995,0.9207074374523072
chr10:100162672-100162832,0.04162203202047148,0.9457411814262702,0.9041191494057987
chr10:130935309-130935372,0.041207291353162354,0.9569567569583015,0.9157494656051391
chr10:8051100-8051330,0.040100833746665336,0.9598862556723483,0.919785421925683
chr11:50129456-50129457,0.053805469366066234,0.9738036579888846,0.9199981886228183
chr12:114162813-114162814,0.04846463588020903,0.9761369057849397,0.9276722699047307
chr16:10449523-10449524,0.053130551463003335,0.9737379360771126,0.9206073846141092
chr19:3507867-3507868,0.0423515930993222,0.9694746016348138,0.9271230085354916
DLK1,0.16845324147966909,0.7902380409594055,0.6217847994797364
