,CHR,Start,Stop
chr1:167604788-167604789,chr1,167604788,167604789
chr1:221737032-221737207,chr1,221737032,221737207
chr1:240118350-240118351,chr1,240118350,240118351
chr1:248596843-248597494,chr1,248596843,248597494
chr1:167656457-167656458,chr1,167656457,167656458
chr1:184195068-184195069,chr1,184195068,184195069
chr1:233874693-233874694,chr1,233874693,233874694
chr1:202856391-202856392,chr1,202856391,202856392
chr1:25919290-25919395,chr1,25919290,25919395
chr1:244199712-244199782,chr1,244199712,244199782
chr1:33631017-33631053,chr1,33631017,33631053
chr1:227753056-227753057,chr1,227753056,227753057
chr1:220132091-220132729,chr1,220132091,220132729
chr1:150042035-150042036,chr1,150042035,150042036
chr1:240569726-240569727,chr1,240569726,240569727
chr1:156036311-156036312,chr1,156036311,156036312
chr1:7434171-7434172,chr1,7434171,7434172
chr1:198590276-198590739,chr1,198590276,198590739
chr1:87240156-87240157,chr1,87240156,87240157
chr1:23303071-23303072,chr1,23303071,23303072
chr1:59221344-59221345,chr1,59221344,59221345
chr1:12270775-12270888,chr1,12270775,12270888
chr1:175158326-175158327,chr1,175158326,175158327
chr1:23076988-23076989,chr1,23076988,23076989
chr1:17508341-17508342,chr1,17508341,17508342
chr1:167601275-167601286,chr1,167601275,167601286
chr1:207999258-207999259,chr1,207999258,207999259
chr1:32355084-32355085,chr1,32355084,32355085
chr1:161038506-161038507,chr1,161038506,161038507
chr1:53103294-53103295,chr1,53103294,53103295
chr1:211526705-211526706,chr1,211526705,211526706
chr1:47701206-47701207,chr1,47701206,47701207
chr2:101181112-101181113,chr2,101181112,101181113
chr2:162197869-162197876,chr2,162197869,162197876
chr2:43035994-43035995,chr2,43035994,43035995
chr2:60442527-60442528,chr2,60442527,60442528
chr2:60154029-60154034,chr2,60154029,60154034
chr2:52856495-52856919,chr2,52856495,52856919
chr2:216670014-216670015,chr2,216670014,216670015
chr2:143465045-143465077,chr2,143465045,143465077
chr2:140505000-140505001,chr2,140505000,140505001
chr2:61200075-61200230,chr2,61200075,61200230
chr2:5465874-5465875,chr2,5465874,5465875
chr2:161253423-161253648,chr2,161253423,161253648
chr2:207068254-207068410,chr2,207068254,207068410
chr2:130585005-130585006,chr2,130585005,130585006
chr2:237973058-237973086,chr2,237973058,237973086
chr2:74814881-74814882,chr2,74814881,74814882
chr2:69875470-69875471,chr2,69875470,69875471
chr2:208390216-208390217,chr2,208390216,208390217
chr2:8618154-8618155,chr2,8618154,8618155
chr2:204582969-204582970,chr2,204582969,204582970
chr2:113450279-113450280,chr2,113450279,113450280
chr2:236236591-236236592,chr2,236236591,236236592
chr2:220374214-220374215,chr2,220374214,220374215
chr2:106415145-106415146,chr2,106415145,106415146
chr2:127839539-127839540,chr2,127839539,127839540
chr2:25496390-25496391,chr2,25496390,25496391
chr2:37617601-37617602,chr2,37617601,37617602
chr3:126261298-126261299,chr3,126261298,126261299
chr3:61728795-61728796,chr3,61728795,61728796
chr3:189526150-189526244,chr3,189526150,189526244
chr3:98244170-98244171,chr3,98244170,98244171
chr3:196661389-196661390,chr3,196661389,196661390
chr3:107552866-107552874,chr3,107552866,107552874
chr3:20049601-20049639,chr3,20049601,20049639
chr3:145051937-145051938,chr3,145051937,145051938
chr3:94226336-94226490,chr3,94226336,94226490
chr3:8399147-8399148,chr3,8399147,8399148
chr3:193506005-193506006,chr3,193506005,193506006
chr3:54888047-54888048,chr3,54888047,54888048
chr3:126630478-126630479,chr3,126630478,126630479
chr3:16523047-16523048,chr3,16523047,16523048
chr3:48545308-48545309,chr3,48545308,48545309
chr3:30706645-30706646,chr3,30706645,30706646
chr4:188924717-188924753,chr4,188924717,188924753
chr4:178392387-178392388,chr4,178392387,178392388
chr4:82157420-82157421,chr4,82157420,82157421
chr4:4643278-4643279,chr4,4643278,4643279
chr4:38825411-38825665,chr4,38825411,38825665
chr4:57922113-57922114,chr4,57922113,57922114
chr4:160173024-160173062,chr4,160173024,160173062
chr4:188034964-188034965,chr4,188034964,188034965
chr4:189191506-189191705,chr4,189191506,189191705
chr4:88431906-88432026,chr4,88431906,88432026
chr4:124468165-124468841,chr4,124468165,124468841
chr4:83808937-83808938,chr4,83808937,83808938
chr4:1039554-1039555,chr4,1039554,1039555
chr4:190276895-190277077,chr4,190276895,190277077
chr4:173961344-173961345,chr4,173961344,173961345
chr4:173731209-173731210,chr4,173731209,173731210
chr4:1750374-1750477,chr4,1750374,1750477
chr5:11931819-11931820,chr5,11931819,11931820
chr5:51813651-51813704,chr5,51813651,51813704
chr5:176076983-176077111,chr5,176076983,176077111
chr5:41968376-41968460,chr5,41968376,41968460
chr5:27523909-27523975,chr5,27523909,27523975
chr5:126109261-126109262,chr5,126109261,126109262
chr5:31317789-31317790,chr5,31317789,31317790
chr5:777465-777466,chr5,777465,777466
chr5:75127862-75127930,chr5,75127862,75127930
chr5:2726103-2726311,chr5,2726103,2726311
chr5:118966450-118966451,chr5,118966450,118966451
chr5:14810180-14810181,chr5,14810180,14810181
chr5:177707036-177707102,chr5,177707036,177707102
chr5:137990243-137990244,chr5,137990243,137990244
chr5:14331816-14331817,chr5,14331816,14331817
chr6:125743207-125743208,chr6,125743207,125743208
chr6:162294525-162294526,chr6,162294525,162294526
chr6:29127979-29127983,chr6,29127979,29127983
chr6:157721067-157721112,chr6,157721067,157721112
chr6:136681884-136682139,chr6,136681884,136682139
chr6:156030265-156030349,chr6,156030265,156030349
chr6:153280671-153280771,chr6,153280671,153280771
chr6:129513939-129513974,chr6,129513939,129513974
chr6:11832008-11832080,chr6,11832008,11832080
chr6:17729087-17729088,chr6,17729087,17729088
chr6:7246900-7247842,chr6,7246900,7247842
chr6:143658603-143658604,chr6,143658603,143658604
chr6:8131700-8131701,chr6,8131700,8131701
chr6:13455261-13455262,chr6,13455261,13455262
chr7:105160482-105160483,chr7,105160482,105160483
